latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
15.59914,-92.88701,333.61,0.43,0.38,2026-05-01,1945,SNPP,SNPP,n,2.0NRT,299,3.36,D
15.60043,-92.88622,332.83,0.43,0.38,2026-05-01,1945,SNPP,SNPP,n,2.0NRT,298.54,2.83,D
15.59415,-93.05717,337.52,0.42,0.38,2026-05-01,1945,SNPP,SNPP,n,2.0NRT,303.07,1.59,D
15.61252,-93.05259,338.44,0.42,0.38,2026-05-01,1945,SNPP,SNPP,n,2.0NRT,301.98,3.07,D
15.73721,-93.13203,330.7,0.42,0.38,2026-05-01,1945,SNPP,SNPP,n,2.0NRT,299.88,2.35,D
15.72965,-93.20542,333.73,0.43,0.38,2026-05-02,1925,SNPP,SNPP,n,2.0NRT,301.54,3.31,D
15.76641,-93.17888,340.59,0.43,0.38,2026-05-02,1925,SNPP,SNPP,n,2.0NRT,305.57,18.19,D
15.87384,-92.97968,330.73,0.52,0.67,2026-05-04,1847,SNPP,SNPP,n,2.0NRT,293.1,6.39,D
15.87999,-92.98086,343.31,0.52,0.67,2026-05-04,1847,SNPP,SNPP,n,2.0NRT,293.35,9.71,D
15.53215,-92.63865,338.13,0.39,0.36,2026-05-12,1938,SNPP,SNPP,n,2.0NRT,300.08,5.03,D
15.53552,-92.63904,334.78,0.39,0.36,2026-05-12,1938,SNPP,SNPP,n,2.0NRT,297.95,5.03,D
15.57244,-92.65992,331.74,0.39,0.36,2026-05-12,1938,SNPP,SNPP,n,2.0NRT,299.34,2.07,D
15.83389,-92.72385,341.87,0.48,0.4,2026-05-13,1919,SNPP,SNPP,n,2.0NRT,301.86,7.34,D
15.87789,-92.99216,312,0.42,0.45,2026-05-15,0731,SNPP,SNPP,n,2.0NRT,289.43,1.57,N
15.87473,-93.00054,301.01,0.42,0.45,2026-05-15,0731,SNPP,SNPP,n,2.0NRT,288.82,0.71,N
15.87104,-93.0048,302.26,0.42,0.45,2026-05-15,0731,SNPP,SNPP,n,2.0NRT,288.97,0.71,N
15.86973,-93.00498,300.02,0.42,0.45,2026-05-15,0731,SNPP,SNPP,n,2.0NRT,289.08,0.6,N
15.88225,-92.98846,331.01,0.66,0.73,2026-05-15,1841,SNPP,SNPP,n,2.0NRT,293.79,5.26,D
15.89838,-92.99571,312.38,0.41,0.61,2026-05-17,0837,SNPP,SNPP,n,2.0NRT,290.44,2.06,N
15.89756,-92.99171,308,0.41,0.61,2026-05-17,0837,SNPP,SNPP,n,2.0NRT,290.17,1.02,N
15.89673,-92.98774,303.02,0.41,0.61,2026-05-17,0837,SNPP,SNPP,n,2.0NRT,289.89,1.02,N
15.89595,-92.98393,304.22,0.41,0.61,2026-05-17,0837,SNPP,SNPP,n,2.0NRT,289.92,0.98,N
15.89514,-92.98001,306.47,0.41,0.61,2026-05-17,0837,SNPP,SNPP,n,2.0NRT,290.14,0.98,N
15.89466,-93.00574,307.09,0.41,0.61,2026-05-17,0837,SNPP,SNPP,n,2.0NRT,289.44,1.39,N
15.88876,-92.97718,302.79,0.41,0.61,2026-05-17,0837,SNPP,SNPP,n,2.0NRT,289.91,0.62,N
15.88781,-92.97058,347.85,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,307.82,12.88,D
15.88722,-92.97472,345.69,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,306.58,4.62,D
15.89479,-92.9716,343.25,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,305.78,6.06,D
15.90117,-92.9768,339.74,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,303.36,4.03,D
15.90059,-92.98084,336.16,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,304.05,4.03,D
15.89944,-92.98887,332.71,0.43,0.38,2026-05-17,1947,SNPP,SNPP,l,2.0NRT,305.23,4.91,D
15.89768,-93.00104,339.81,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,304.46,3.36,D
15.90295,-92.98926,334.5,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,303.08,3.12,D
15.90235,-92.99336,344.22,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,305.45,7.77,D
15.90176,-92.99744,347.6,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,308.97,7.77,D
15.90118,-93.00146,332.6,0.43,0.38,2026-05-17,1947,SNPP,SNPP,l,2.0NRT,303.08,8.82,D
15.90585,-92.99381,331.89,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,302.39,7.77,D
15.90526,-92.99787,352.66,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,304.25,7.77,D
15.90372,-92.99329,346.12,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,303.98,7.32,D
15.90315,-92.99738,353.77,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,307.84,7.32,D
15.90259,-93.00141,330.08,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,304.13,6.89,D
15.90664,-92.99783,334.71,0.43,0.38,2026-05-17,1947,SNPP,SNPP,n,2.0NRT,301.52,7.32,D
15.88025,-93.11602,300.97,0.4,0.44,2026-05-18,0816,SNPP,SNPP,n,2.0NRT,288.88,1.28,N
15.88685,-92.96548,334.92,0.42,0.38,2026-05-18,1925,SNPP,SNPP,l,2.0NRT,302.73,4.23,D
15.89029,-92.96608,335.35,0.42,0.38,2026-05-18,1925,SNPP,SNPP,n,2.0NRT,301.37,3.71,D
15.90971,-92.97746,334.4,0.42,0.38,2026-05-18,1925,SNPP,SNPP,l,2.0NRT,302.09,3.29,D
15.9106,-92.99367,332.92,0.42,0.38,2026-05-18,1925,SNPP,SNPP,l,2.0NRT,304.35,6.98,D
15.90894,-92.97121,323.76,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,292.52,1.45,N
15.90952,-92.97479,315.22,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,292.17,1.45,N
15.9062,-92.97538,303.62,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,291.98,0.99,N
15.90561,-92.97178,315.04,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,292.57,0.99,N
15.90229,-92.97234,313.53,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,291.7,0.99,N
15.88723,-92.96377,314.22,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,292.52,1.02,N
15.88391,-92.96436,304.56,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,292.12,0.55,N
15.88491,-93.11233,308.28,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,290.33,0.8,N
15.8816,-93.11293,326.31,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,291.47,2.66,N
15.88218,-93.11657,301.84,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,290.47,0.7,N
15.87946,-93.12082,302.21,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,289.52,0.7,N
15.87887,-93.11716,304.69,0.39,0.36,2026-05-19,0758,SNPP,SNPP,n,2.0NRT,290.52,0.7,N
15.88649,-92.95959,331.21,0.51,0.49,2026-05-19,1908,SNPP,SNPP,n,2.0NRT,299.22,3.01,D
15.90377,-92.96722,339.43,0.51,0.49,2026-05-19,1908,SNPP,SNPP,n,2.0NRT,300.6,5.06,D
15.88126,-93.11336,342.24,0.52,0.5,2026-05-19,1908,SNPP,SNPP,n,2.0NRT,297.65,6.9,D
15.91546,-92.97989,331.97,0.51,0.49,2026-05-19,1908,SNPP,SNPP,n,2.0NRT,300.47,3.34,D
15.91683,-92.97853,331.57,0.51,0.49,2026-05-19,1908,SNPP,SNPP,n,2.0NRT,300.38,4.29,D
15.97506,-93.06135,340.23,0.39,0.36,2026-05-23,1932,SNPP,SNPP,n,2.0NRT,300.54,3.05,D
15.97846,-93.0606,304.27,0.53,0.5,2026-05-26,0729,SNPP,SNPP,n,2.0NRT,277.77,1.22,N
15.96938,-93.06381,301.31,0.53,0.5,2026-05-26,0729,SNPP,SNPP,n,2.0NRT,277.53,1.5,N
15.96579,-93.06393,340.45,0.42,0.61,2026-05-26,2017,SNPP,SNPP,n,2.0NRT,295.13,6.5,D
15.97139,-93.0656,334.75,0.42,0.61,2026-05-26,2017,SNPP,SNPP,n,2.0NRT,293.93,6.1,D
15.97001,-93.0532,330.92,0.42,0.45,2026-05-27,1957,SNPP,SNPP,n,2.0NRT,295.7,3.45,D
15.96949,-93.05729,342.24,0.42,0.45,2026-05-27,1957,SNPP,SNPP,n,2.0NRT,296.96,5.12,D
15.97463,-93.05003,332.57,0.42,0.45,2026-05-27,1957,SNPP,SNPP,n,2.0NRT,296.21,4.19,D
15.97409,-93.05432,351.89,0.42,0.45,2026-05-27,1957,SNPP,SNPP,n,2.0NRT,296.21,4.19,D
15.97929,-93.04666,340.9,0.42,0.45,2026-05-27,1957,SNPP,SNPP,n,2.0NRT,296.72,6.86,D
15.97872,-93.05115,331.86,0.42,0.45,2026-05-27,1957,SNPP,SNPP,n,2.0NRT,296.18,4.19,D
16.04507,-93.14372,331.92,0.39,0.36,2026-05-30,0752,SNPP,SNPP,n,2.0NRT,292.11,3.24,N
16.04451,-93.14006,340.63,0.39,0.36,2026-05-30,0752,SNPP,SNPP,n,2.0NRT,292.96,3.24,N
16.04395,-93.13642,303.01,0.39,0.36,2026-05-30,0752,SNPP,SNPP,n,2.0NRT,291.16,4.15,N
16.0406,-93.13695,338.1,0.39,0.36,2026-05-30,0752,SNPP,SNPP,n,2.0NRT,294.73,4.15,N
16.04286,-93.15162,318.41,0.39,0.36,2026-05-30,0752,SNPP,SNPP,n,2.0NRT,291.17,2.19,N
16.04174,-93.14431,303.5,0.39,0.36,2026-05-30,0752,SNPP,SNPP,n,2.0NRT,290.87,3.24,N
16.04117,-93.14062,310.95,0.39,0.36,2026-05-30,0752,SNPP,SNPP,n,2.0NRT,290.83,3.24,N
15.95597,-92.98705,300.32,0.39,0.36,2026-05-30,0752,SNPP,SNPP,n,2.0NRT,280.78,2.03,N
16.03438,-93.13897,336.61,0.33,0.55,2026-05-30,1902,SNPP,SNPP,n,2.0NRT,295.83,8.22,D
16.04119,-93.13113,367,0.33,0.55,2026-05-30,1902,SNPP,SNPP,h,2.0NRT,297.06,12.01,D
16.04065,-93.13383,345.45,0.33,0.55,2026-05-30,1902,SNPP,SNPP,n,2.0NRT,295.97,6.5,D
16.04009,-93.13662,341.22,0.33,0.55,2026-05-30,1902,SNPP,SNPP,n,2.0NRT,296.25,6.5,D
16.03798,-93.14719,346.97,0.33,0.55,2026-05-30,1902,SNPP,SNPP,n,2.0NRT,296.21,4.49,D
16.03733,-93.15044,345.31,0.33,0.55,2026-05-30,1902,SNPP,SNPP,n,2.0NRT,294.7,4.49,D
16.04564,-93.13506,367,0.33,0.55,2026-05-30,1902,SNPP,SNPP,h,2.0NRT,299.12,7.91,D
16.04614,-93.13255,341.17,0.33,0.55,2026-05-30,1902,SNPP,SNPP,n,2.0NRT,296.05,11.44,D
16.0432,-93.14734,330.89,0.33,0.55,2026-05-30,1902,SNPP,SNPP,n,2.0NRT,298.22,4.02,D
16.04255,-93.15061,338,0.33,0.55,2026-05-30,1902,SNPP,SNPP,n,2.0NRT,296.2,4.02,D
15.93322,-93.00073,330.64,0.42,0.38,2026-06-03,1925,SNPP,SNPP,l,2.0NRT,300.08,4.58,D
15.89705,-93.20864,333.12,0.51,0.41,2026-06-14,1919,SNPP,SNPP,n,2.0NRT,292.93,3.86,D
15.97768,-93.24727,331.47,0.42,0.38,2026-06-18,1947,SNPP,SNPP,n,2.0NRT,298.82,2.63,D
16.01892,-93.05515,330.09,0.43,0.38,2026-06-18,1947,SNPP,SNPP,n,2.0NRT,298.82,4.74,D
